team,year,roster_size,actual_team_war,starter_war,optimal_lineup_value,lineup_spread,expected_wins,actual_wins,actual_runs,weakest_pos,weakest_surplus,strongest_pos,strongest_surplus,elapsed_s
ARI,2024,19,24.1,27.2,256.2,0.0,73.0,89,886,SS,-1.3,2B,4.0,0.05
ATL,2024,20,8.1,16.3,210.5,0.0,62.0,89,704,SS,-2.4,DH,4.2,0.05
BAL,2024,16,20.9,26.5,226.2,0.0,70.0,91,786,2B,-3.0,SS,5.8,0.05
BOS,2024,19,13.2,21.3,217.7,0.0,67.0,81,751,1B,-2.4,CF,4.3,0.05
CHA,2024,19,-19.0,-3.9,38.0,0.01,48.0,41,507,SS,-4.7,1B,-1.4,0.05
CHN,2024,16,16.7,22.9,201.9,0.0,68.0,83,736,DH,-1.5,LF,2.3,0.05
CIN,2024,20,6.8,18.1,162.1,0.0,63.0,77,699,DH,-3.2,SS,3.2,0.05
CLE,2024,17,9.5,15.8,159.3,0.0,61.0,92,708,CF,-2.7,3B,3.8,0.05
COL,2024,18,1.4,16.0,157.1,0.0,61.0,61,682,LF,-2.7,CF,1.8,0.05
DET,2024,18,-1.3,8.9,121.3,0.0,56.0,86,682,3B,-3.8,LF,1.9,0.05
HOU,2024,16,16.7,23.3,224.6,0.0,69.0,88,740,LF,-2.1,DH,3.9,0.05
KCA,2024,18,14.5,19.6,178.1,0.0,64.0,86,735,DH,-3.0,SS,7.4,0.05
LAA,2024,21,-6.8,9.9,127.7,0.0,57.0,63,635,2B,-4.0,C,1.1,0.05
LAN,2024,15,28.4,32.8,291.9,0.0,76.0,98,842,RF,-2.0,DH,8.3,0.05
MIA,2024,18,-9.4,1.5,97.3,0.0,52.0,62,637,LF,-3.3,RF,-0.5,0.05
MIL,2024,16,19.2,24.3,199.6,0.0,69.0,93,777,DH,-2.5,C,4.9,0.05
MIN,2024,17,13.3,18.4,185.4,0.0,63.0,82,742,2B,-2.7,C,1.0,0.05
NYA,2024,17,21.6,31.2,283.7,0.0,75.0,94,815,1B,-3.0,CF,10.0,0.05
NYN,2024,17,16.9,21.0,218.5,0.0,67.0,89,768,CF,-1.8,SS,3.9,0.05
OAK,2024,19,1.0,13.9,152.5,0.0,60.0,69,643,1B,-2.9,DH,3.6,0.05
PHI,2024,16,18.8,25.3,238.5,0.0,69.0,95,784,CF,-2.5,DH,2.8,0.05
PIT,2024,19,2.9,12.4,139.6,0.0,57.0,76,665,CF,-3.0,LF,2.1,0.05
SDN,2024,19,16.3,22.6,224.2,0.0,67.0,93,760,2B,-1.9,LF,2.9,0.05
SEA,2024,16,12.3,19.4,152.4,0.0,63.0,85,676,RF,-2.9,C,3.3,0.05
SFN,2024,18,2.7,14.1,154.3,0.0,60.0,80,693,2B,-3.0,3B,2.3,0.05
SLN,2024,17,6.9,13.9,161.6,0.0,61.0,83,672,CF,-2.4,C,1.1,0.05
TBA,2024,16,-2.2,3.9,77.2,0.0,52.0,80,604,3B,-3.3,1B,0.1,0.05
TEX,2024,15,10.1,16.5,151.1,0.0,61.0,78,683,RF,-1.5,SS,1.5,0.05
TOR,2024,16,1.5,10.8,138.9,0.0,57.0,74,671,2B,-3.8,1B,4.4,0.05
WAS,2024,18,-6.4,4.2,95.6,0.0,54.0,71,660,3B,-3.2,SS,0.6,0.05
ARI,2025,17,10.4,20.4,211.4,0.0,66.0,80,791,1B,-3.9,SS,4.8,0.05
ATH,2025,20,9.6,21.0,233.8,0.0,67.0,76,733,3B,-3.4,C,3.4,0.05
ATL,2025,20,9.9,20.8,208.6,0.0,66.0,76,724,SS,-3.7,1B,4.0,0.05
BAL,2025,21,-10.5,6.4,102.8,0.0,55.0,75,677,LF,-2.9,SS,2.4,0.05
BOS,2025,19,11.4,21.3,192.6,0.0,65.0,89,786,2B,-2.7,SS,1.7,0.05
CHA,2025,20,-2.2,10.8,124.1,0.0,57.0,60,647,1B,-3.4,C,0.3,0.05
CHN,2025,16,26.8,32.4,247.3,0.0,75.0,92,793,3B,-1.1,RF,2.6,0.05
CIN,2025,18,6.0,15.8,170.0,0.0,60.0,83,716,3B,-1.8,CF,2.1,0.05
CLE,2025,16,2.0,12.2,99.7,0.0,57.0,88,643,RF,-2.7,3B,3.3,0.05
COL,2025,20,-7.8,7.4,123.6,0.0,57.0,43,597,3B,-3.9,C,3.7,0.05
DET,2025,17,14.3,19.8,204.9,0.0,65.0,87,758,CF,-3.2,C,2.2,0.05
HOU,2025,21,10.3,19.0,184.0,0.0,66.0,87,686,DH,-2.3,SS,2.1,0.05
KCA,2025,21,6.6,23.8,184.6,0.0,68.0,82,651,LF,-3.3,SS,4.5,0.05
LAA,2025,20,0.2,12.7,159.4,0.0,60.0,72,673,2B,-3.4,LF,1.3,0.05
LAN,2025,16,26.6,32.0,281.3,0.0,75.0,93,825,LF,-2.3,DH,8.8,0.05
MIA,2025,17,7.1,12.8,130.4,0.0,60.0,79,709,RF,-3.6,LF,1.9,0.05
MIL,2025,18,17.9,22.4,221.8,0.0,68.0,97,806,SS,-2.6,C,3.1,0.05
MIN,2025,18,-0.4,11.8,139.9,0.0,58.0,70,678,1B,-3.4,CF,3.0,0.05
NYA,2025,18,29.5,31.3,295.7,0.0,78.0,94,849,SS,-0.8,RF,7.7,0.05
NYN,2025,17,23.9,28.9,260.1,0.0,73.0,83,766,DH,-1.6,RF,5.0,0.05
PHI,2025,15,27.8,30.6,258.2,0.0,75.0,96,778,LF,-1.8,DH,5.3,0.05
PIT,2025,16,-4.7,4.0,99.9,0.0,52.0,71,583,2B,-2.9,RF,-0.4,0.05
SDN,2025,18,19.9,25.2,232.6,0.0,71.0,90,702,DH,-1.5,RF,3.7,0.05
SEA,2025,16,26.6,32.3,280.9,0.0,76.0,90,766,2B,-3.1,C,7.6,0.06
SFN,2025,16,8.9,17.4,176.1,0.0,62.0,81,705,RF,-3.1,DH,2.7,0.05
SLN,2025,16,7.9,13.5,150.4,0.0,58.0,78,689,RF,-3.5,2B,0.7,0.05
TBA,2025,18,6.0,14.8,183.8,0.0,61.0,77,714,SS,-2.8,DH,2.3,0.05
TEX,2025,19,4.9,11.8,123.2,0.0,57.0,81,684,DH,-2.9,LF,0.7,0.05
TOR,2025,17,22.2,24.5,246.9,0.0,70.0,94,798,2B,-2.0,DH,4.1,0.05
WAS,2025,16,1.0,8.4,133.0,0.0,58.0,66,687,1B,-3.8,LF,2.2,0.05
