"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Ashcraft, Graham",668933,2023,624,450,0.265,0.268,-0.003,0.444,0.43,0.014,0.339,0.339,0.0,4.76,4.93,-0.173
"Scherzer, Max",453286,2023,621,398,0.221,0.203,0.0179999999999999,0.407,0.384,0.0229999999999999,0.298,0.283,0.015,3.77,3.33,0.443
"Rodriguez, Eduardo",593958,2023,621,427,0.227,0.243,-0.0159999999999999,0.359,0.402,-0.043,0.284,0.311,-0.027,3.3,4.07,-0.769
"Nelson, Ryne",669194,2023,619,475,0.284,0.263,0.0209999999999999,0.515,0.493,0.022,0.357,0.349,0.008,5.31,5.27,0.043
"Pérez, Martín",527048,2023,608,462,0.274,0.267,0.007,0.441,0.446,-0.005,0.335,0.336,-0.001,4.45,4.83,-0.383
"Lugo, Seth",607625,2023,604,425,0.249,0.256,-0.007,0.412,0.447,-0.035,0.306,0.323,-0.017,3.57,4.42,-0.853
"Gomber, Austin",596295,2023,603,470,0.297,0.289,0.008,0.513,0.505,0.008,0.368,0.363,0.005,5.5,5.77,-0.266
"Greinke, Zack",425844,2023,593,469,0.282,0.286,-0.004,0.467,0.484,-0.0169999999999999,0.332,0.344,-0.0119999999999999,5.06,5.1,-0.041
"Kopech, Michael",656629,2023,591,354,0.238,0.236,0.002,0.47,0.457,0.0129999999999999,0.363,0.363,0.0,5.43,5.77,-0.342
"Pivetta, Nick",601713,2023,587,347,0.208,0.218,-0.01,0.402,0.421,-0.0189999999999999,0.296,0.309,-0.013,4.04,4.01,0.027
"Bibee, Tanner",676440,2023,585,394,0.23,0.232,-0.002,0.353,0.383,-0.03,0.285,0.298,-0.013,2.98,3.71,-0.731
"Gore, MacKenzie",669022,2023,582,373,0.258,0.257,0.001,0.459,0.476,-0.0169999999999999,0.339,0.347,-0.0079999999999999,4.42,5.2,-0.777
"France, J.P.",641585,2023,581,431,0.263,0.264,-0.001,0.414,0.462,-0.048,0.319,0.34,-0.021,3.83,4.96,-1.131
"Hendricks, Kyle",543294,2023,578,454,0.255,0.267,-0.012,0.393,0.416,-0.0229999999999999,0.296,0.314,-0.018,3.75,4.16,-0.415
"Eovaldi, Nathan",543135,2023,577,392,0.225,0.232,-0.007,0.382,0.399,-0.017,0.296,0.307,-0.011,3.63,3.96,-0.335
"Ober, Bailey",641927,2023,577,395,0.232,0.222,0.01,0.403,0.412,-0.0089999999999999,0.294,0.294,0.0,3.43,3.61,-0.18
"Stroman, Marcus",573186,2023,575,401,0.231,0.261,-0.03,0.335,0.389,-0.0539999999999999,0.285,0.318,-0.033,3.95,4.27,-0.319
"Darvish, Yu",506433,2023,573,382,0.259,0.239,0.02,0.42,0.378,0.0419999999999999,0.321,0.302,0.019,4.55,3.82,0.735
"Megill, Tylor",656731,2023,567,397,0.282,0.279,0.0029999999999999,0.44,0.48,-0.0399999999999999,0.35,0.365,-0.015,4.7,5.85,-1.148
"Weaver, Luke",596133,2023,563,410,0.301,0.282,0.019,0.559,0.501,0.058,0.385,0.358,0.027,6.4,5.59,0.814
"Wacha, Michael",608379,2023,553,383,0.224,0.246,-0.0219999999999999,0.38,0.427,-0.0469999999999999,0.291,0.319,-0.028,3.22,4.3,-1.084
"Clevinger, Mike",605182,2023,549,390,0.244,0.236,0.008,0.407,0.41,-0.003,0.312,0.313,-0.001,3.77,4.13,-0.361
"Suarez, Ranger",624133,2023,540,371,0.267,0.258,0.009,0.414,0.408,0.006,0.325,0.322,0.003,4.18,4.39,-0.214
"Allen, Logan",671106,2023,537,368,0.263,0.253,0.01,0.42,0.42,0.0,0.326,0.325,0.001,3.81,4.48,-0.674
"Miller, Bryce",682243,2023,537,385,0.248,0.264,-0.016,0.427,0.474,-0.0469999999999999,0.309,0.337,-0.028,4.32,4.86,-0.543
"Canning, Griffin",656288,2023,536,356,0.245,0.233,0.0119999999999999,0.43,0.422,0.008,0.315,0.308,0.007,4.32,3.98,0.343
"Bieber, Shane",669456,2023,533,387,0.253,0.28,-0.027,0.406,0.453,-0.0469999999999999,0.307,0.338,-0.031,3.8,4.9,-1.103
"Ohtani, Shohei",660271,2023,531,297,0.184,0.201,-0.017,0.333,0.375,-0.0419999999999999,0.277,0.3,-0.0229999999999999,3.14,3.77,-0.634
"Irvin, Jake",663623,2023,530,369,0.255,0.254,0.001,0.431,0.45,-0.019,0.335,0.344,-0.0089999999999999,4.61,5.1,-0.488
"Crawford, Kutter",676710,2023,527,351,0.221,0.205,0.016,0.388,0.38,0.008,0.29,0.281,0.0089999999999999,4.04,3.28,0.756
"Kershaw, Clayton",477132,2023,523,343,0.209,0.228,-0.019,0.367,0.393,-0.026,0.28,0.298,-0.0179999999999999,2.46,3.71,-1.249
"Rea, Colin",607067,2023,517,365,0.235,0.25,-0.015,0.434,0.435,-0.001,0.313,0.323,-0.01,4.55,4.42,0.128
"Rodriguez, Grayson",680570,2023,515,341,0.259,0.251,0.008,0.418,0.411,0.007,0.32,0.317,0.003,4.35,4.24,0.112
"Miller, Bobby",676272,2023,505,348,0.226,0.227,-0.001,0.364,0.36,0.004,0.283,0.288,-0.005,3.76,3.45,0.314
"Civale, Aaron",650644,2023,504,349,0.235,0.24,-0.005,0.363,0.386,-0.023,0.288,0.299,-0.011,3.46,3.74,-0.282
"Manaea, Sean",640455,2023,499,321,0.234,0.239,-0.0049999999999999,0.394,0.401,-0.007,0.306,0.313,-0.007,4.44,4.13,0.306
"Greene, Hunter",668881,2023,498,290,0.253,0.213,0.04,0.477,0.389,0.0879999999999999,0.349,0.303,0.0459999999999999,4.82,3.85,0.971
"Medina, Luis",665622,2023,495,324,0.255,0.25,0.005,0.44,0.413,0.027,0.343,0.337,0.006,5.42,4.86,0.556
"Peterson, David",656849,2023,492,308,0.287,0.26,0.0269999999999999,0.456,0.43,0.026,0.357,0.339,0.0179999999999999,5.03,4.93,0.097
"Wentz, Joey",666214,2023,492,347,0.295,0.271,0.0239999999999999,0.532,0.504,0.028,0.38,0.362,0.018,6.9,5.74,1.159
"Williamson, Brandon",682227,2023,491,352,0.248,0.26,-0.012,0.432,0.449,-0.017,0.321,0.334,-0.013,4.46,4.77,-0.308
"Miley, Wade",489119,2023,490,367,0.223,0.249,-0.0259999999999999,0.386,0.42,-0.0339999999999999,0.293,0.319,-0.026,3.14,4.3,-1.159
"Glasnow, Tyler",607192,2023,485,285,0.209,0.213,-0.004,0.347,0.397,-0.05,0.27,0.292,-0.0219999999999999,3.52,3.55,-0.025
"Wainwright, Adam",425794,2023,484,387,0.345,0.32,0.0249999999999999,0.573,0.562,0.0109999999999998,0.414,0.399,0.0149999999999999,7.4,7.26,0.136
"Urías, Julio",628711,2023,482,333,0.252,0.245,0.007,0.482,0.444,0.0379999999999999,0.328,0.315,0.013,4.6,4.18,0.422
"Houser, Adrian",605288,2023,481,350,0.273,0.258,0.015,0.406,0.416,-0.0099999999999999,0.318,0.316,0.002,4.12,4.21,-0.087
"Wells, Tyler",669330,2023,470,315,0.193,0.212,-0.0189999999999999,0.413,0.441,-0.028,0.286,0.306,-0.02,3.64,3.93,-0.29
"McClanahan, Shane",663556,2023,469,307,0.222,0.238,-0.0159999999999999,0.388,0.412,-0.0239999999999999,0.295,0.312,-0.017,3.29,4.1,-0.813
"Flexen, Chris",623167,2023,466,350,0.317,0.292,0.025,0.545,0.512,0.033,0.392,0.373,0.019,6.86,6.16,0.7
"Blackburn, Paul",621112,2023,464,313,0.286,0.259,0.0269999999999999,0.435,0.414,0.021,0.34,0.325,0.015,4.43,4.48,-0.052
"Houck, Tanner",656557,2023,463,317,0.254,0.24,0.014,0.415,0.398,0.0169999999999999,0.323,0.315,0.008,5.01,4.18,0.829
"Martinez, Nick",607259,2023,461,311,0.24,0.242,-0.002,0.354,0.388,-0.034,0.294,0.308,-0.014,3.43,3.98,-0.554
"Bradley, Taj",671737,2023,460,291,0.255,0.238,0.017,0.495,0.443,0.0519999999999999,0.344,0.323,0.0209999999999999,5.59,4.42,1.169
"Abbott, Andrew",671096,2023,459,294,0.244,0.223,0.0209999999999999,0.425,0.399,0.0259999999999999,0.32,0.306,0.014,3.87,3.93,-0.061
"Assad, Javier",665871,2023,449,311,0.231,0.255,-0.0239999999999999,0.388,0.418,-0.0299999999999999,0.303,0.33,-0.027,3.05,4.64,-1.594
"Matz, Steven",571927,2023,449,316,0.263,0.25,0.013,0.405,0.386,0.019,0.316,0.306,0.01,3.86,3.93,-0.073
"Germán, Domingo",593334,2023,444,290,0.207,0.235,-0.0279999999999999,0.414,0.428,-0.014,0.297,0.32,-0.023,4.55,4.33,0.225
"Quantrill, Cal",615698,2023,444,344,0.279,0.285,-0.0059999999999999,0.437,0.489,-0.0519999999999999,0.339,0.364,-0.0249999999999999,5.24,5.81,-0.573
"Gonsolin, Tony",664062,2023,435,306,0.226,0.268,-0.042,0.415,0.513,-0.098,0.312,0.365,-0.0529999999999999,4.98,5.85,-0.869
"Cabrera, Edward",665795,2023,434,246,0.215,0.196,0.0189999999999999,0.355,0.331,0.0239999999999999,0.315,0.301,0.014,4.24,3.79,0.454
"King, Michael",650633,2023,431,267,0.226,0.225,0.001,0.346,0.367,-0.021,0.281,0.29,-0.0089999999999999,2.75,3.5,-0.748
"Wood, Alex",622072,2023,429,305,0.263,0.253,0.01,0.421,0.415,0.006,0.335,0.331,0.004,4.33,4.67,-0.339
"Maeda, Kenta",628317,2023,428,280,0.239,0.228,0.0109999999999999,0.429,0.411,0.018,0.309,0.3,0.009,4.23,3.77,0.457
"Sale, Chris",519242,2023,425,263,0.227,0.208,0.019,0.417,0.387,0.0299999999999999,0.306,0.296,0.01,4.29,3.66,0.635
"Olson, Reese",681857,2023,422,285,0.215,0.251,-0.036,0.373,0.461,-0.088,0.283,0.333,-0.05,3.99,4.73,-0.736
"Pfaadt, Brandon",694297,2023,421,298,0.282,0.249,0.0329999999999999,0.534,0.463,0.071,0.362,0.326,0.0359999999999999,5.72,4.51,1.209
"DeSclafani, Anthony",543101,2023,419,315,0.271,0.282,-0.0109999999999999,0.456,0.492,-0.0359999999999999,0.328,0.348,-0.0199999999999999,4.88,5.23,-0.354
"Severino, Luis",622663,2023,417,298,0.301,0.281,0.0199999999999999,0.555,0.498,0.057,0.39,0.365,0.025,6.65,5.85,0.799
"Carrasco, Carlos",471911,2023,417,307,0.31,0.3,0.01,0.531,0.52,0.011,0.39,0.385,0.005,6.8,6.65,0.15
"Manoah, Alek",666201,2023,415,268,0.269,0.262,0.007,0.46,0.471,-0.0109999999999999,0.37,0.373,-0.003,5.87,6.16,-0.286
"Paxton, James",572020,2023,411,273,0.25,0.226,0.0239999999999999,0.452,0.396,0.0559999999999999,0.328,0.301,0.027,4.5,3.79,0.71
"Seabold, Connor",657756,2023,408,306,0.317,0.268,0.0489999999999999,0.563,0.478,0.0849999999999999,0.393,0.346,0.047,7.52,5.16,2.363
"Curry, Xzavion",675540,2023,404,305,0.267,0.271,-0.004,0.436,0.474,-0.0379999999999999,0.326,0.342,-0.016,4.07,5.03,-0.956
"Ortiz, Luis",682847,2023,400,291,0.288,0.296,-0.008,0.448,0.529,-0.081,0.356,0.388,-0.032,4.78,6.77,-1.993
"Musgrove, Joe",605397,2023,399,272,0.247,0.223,0.0239999999999999,0.375,0.345,0.03,0.295,0.275,0.0199999999999999,3.05,3.14,-0.089
"Sánchez, Cristopher",650911,2023,396,281,0.235,0.242,-0.007,0.421,0.413,0.008,0.296,0.299,-0.003,3.44,3.74,-0.297
"Ragans, Cole",666142,2023,392,236,0.202,0.21,-0.0079999999999999,0.303,0.333,-0.03,0.266,0.283,-0.0169999999999999,3.47,3.33,0.139
"Syndergaard, Noah",592789,2023,391,306,0.291,0.296,-0.005,0.539,0.544,-0.005,0.371,0.381,-0.01,6.5,6.48,0.016
"Toussaint, Touki",657053,2023,384,235,0.223,0.248,-0.0249999999999999,0.355,0.41,-0.0549999999999999,0.317,0.351,-0.0339999999999999,4.97,5.34,-0.374
"Lively, Ben",594902,2023,383,276,0.27,0.265,0.005,0.49,0.474,0.016,0.348,0.341,0.0069999999999999,5.38,5.0,0.38
"Bird, Jake",656234,2023,381,270,0.276,0.259,0.017,0.396,0.41,-0.0139999999999999,0.32,0.329,-0.009,4.33,4.61,-0.278
"Stripling, Ross",548389,2023,381,293,0.287,0.287,0.0,0.497,0.507,-0.01,0.348,0.356,-0.008,5.36,5.52,-0.16
"Henry, Tommy",674072,2023,381,278,0.251,0.244,0.007,0.418,0.414,0.004,0.324,0.321,0.003,4.15,4.36,-0.214
"Littell, Zack",641793,2023,379,289,0.261,0.268,-0.007,0.431,0.441,-0.01,0.308,0.317,-0.009,4.1,4.24,-0.14
"Wesneski, Hayden",669713,2023,379,260,0.242,0.259,-0.017,0.46,0.477,-0.0169999999999999,0.33,0.346,-0.0159999999999999,4.63,5.16,-0.526
"Scholtens, Jesse",669947,2023,377,287,0.292,0.268,0.0239999999999999,0.458,0.453,0.005,0.349,0.338,0.0109999999999999,5.29,4.9,0.394
"Davies, Zach",605200,2023,377,264,0.295,0.28,0.0149999999999999,0.461,0.457,0.004,0.36,0.355,0.005,7.0,5.48,1.516
"Yarbrough, Ryan",642232,2023,376,288,0.271,0.266,0.005,0.421,0.44,-0.019,0.317,0.322,-0.005,4.52,4.39,0.127
"Lambert, Peter",663567,2023,375,271,0.273,0.262,0.011,0.534,0.507,0.027,0.367,0.355,0.012,5.36,5.48,-0.121
"Pérez, Eury",691587,2023,374,233,0.214,0.205,0.009,0.424,0.401,0.0229999999999999,0.303,0.295,0.008,3.15,3.63,-0.477
"Brito, Jhony",666745,2023,372,268,0.244,0.247,-0.003,0.435,0.44,-0.005,0.318,0.327,-0.009,4.28,4.55,-0.266
"Anderson, Chase",502624,2023,372,268,0.274,0.253,0.021,0.474,0.44,0.0339999999999999,0.355,0.337,0.0179999999999999,5.42,4.86,0.561
"Muller, Kyle",666205,2023,372,274,0.346,0.31,0.0359999999999999,0.568,0.548,0.0199999999999999,0.417,0.401,0.0159999999999999,7.6,7.35,0.247
"Woo, Bryan",693433,2023,371,240,0.227,0.217,0.01,0.393,0.352,0.041,0.305,0.289,0.016,4.21,3.48,0.729
"Winckowski, Josh",670174,2023,367,251,0.267,0.24,0.027,0.393,0.373,0.02,0.319,0.301,0.018,2.88,3.79,-0.909
"Chirinos, Yonny",630023,2023,367,281,0.275,0.294,-0.0189999999999999,0.483,0.512,-0.029,0.35,0.373,-0.023,5.4,6.16,-0.76
"Junis, Jakob",596001,2023,367,243,0.269,0.238,0.031,0.451,0.404,0.0469999999999999,0.328,0.3,0.028,3.87,3.77,0.102
"Barria, Jaime",642545,2023,362,268,0.277,0.276,0.001,0.512,0.495,0.017,0.357,0.352,0.005,5.68,5.37,0.314
"Fujinami, Shintaro",660261,2023,357,222,0.242,0.237,0.005,0.404,0.411,-0.0069999999999999,0.332,0.334,-0.002,7.18,4.77,2.407
"Hudson, Dakota",641712,2023,354,269,0.283,0.286,-0.003,0.441,0.491,-0.0499999999999999,0.35,0.371,-0.021,4.98,6.08,-1.1
"Beck, Tristan",663941,2023,354,263,0.252,0.241,0.011,0.388,0.401,-0.013,0.298,0.298,0.0,3.92,3.71,0.208
"Bielak, Brandon",656232,2023,353,250,0.277,0.263,0.014,0.46,0.462,-0.002,0.357,0.353,0.004,3.83,5.41,-1.585
"Blach, Ty",621389,2023,352,272,0.33,0.327,0.003,0.537,0.549,-0.012,0.389,0.399,-0.01,5.54,7.26,-1.722
"Strahm, Matt",621381,2023,351,219,0.212,0.209,0.003,0.375,0.367,0.008,0.274,0.278,-0.004,3.29,3.21,0.075
"Falter, Bailey",663559,2023,347,267,0.288,0.276,0.0119999999999999,0.503,0.472,0.031,0.354,0.339,0.0149999999999999,5.36,4.93,0.425
"Williams, Gavin",668909,2023,345,223,0.219,0.241,-0.0219999999999999,0.368,0.385,-0.017,0.299,0.317,-0.018,3.29,4.24,-0.947
"Marsh, Alec",679525,2023,342,208,0.266,0.255,0.011,0.524,0.495,0.029,0.381,0.369,0.012,5.69,6.0,-0.309
"Stratton, Chris",608717,2023,338,230,0.227,0.222,0.005,0.368,0.392,-0.024,0.283,0.296,-0.013,3.92,3.66,0.259
"Irvin, Cole",608344,2023,336,240,0.256,0.276,-0.02,0.42,0.491,-0.071,0.318,0.356,-0.0379999999999999,4.42,5.52,-1.098
"Lawrence, Justin",664875,2023,326,205,0.235,0.218,0.0169999999999999,0.354,0.337,0.0169999999999999,0.303,0.299,0.004,3.72,3.74,-0.02
"Tonkin, Michael",543859,2023,325,225,0.217,0.237,-0.0199999999999999,0.38,0.41,-0.0299999999999999,0.283,0.306,-0.023,4.28,3.93,0.345
"Holton, Tyler",663947,2023,324,231,0.185,0.235,-0.0499999999999999,0.304,0.391,-0.087,0.234,0.29,-0.0559999999999999,2.11,3.5,-1.391
"Quintana, Jose",500779,2023,319,234,0.26,0.273,-0.013,0.363,0.43,-0.067,0.297,0.33,-0.033,3.57,4.64,-1.072
"Gibaut, Ian",664139,2023,318,216,0.245,0.233,0.0119999999999999,0.365,0.368,-0.003,0.298,0.297,0.001,3.33,3.69,-0.36
"Manning, Matt",666159,2023,316,239,0.212,0.262,-0.05,0.375,0.502,-0.127,0.281,0.353,-0.0719999999999999,3.58,5.41,-1.833
"Richards, Trevor",670950,2023,315,173,0.228,0.198,0.03,0.424,0.373,0.0509999999999999,0.318,0.293,0.025,4.95,3.58,1.374
"Wilson, Bryse",669060,2023,314,229,0.211,0.242,-0.031,0.377,0.411,-0.0339999999999999,0.281,0.308,-0.0269999999999999,2.58,3.98,-1.397
"Fried, Max",608331,2023,311,211,0.242,0.215,0.0269999999999999,0.343,0.316,0.027,0.279,0.258,0.021,2.55,2.75,-0.201
