"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
"Bellinger, Cody",641355,2020,243,171,0.239,0.284,-0.0449999999999999,0.455,0.494,-0.0389999999999999,0.337,0.374,-0.0369999999999999
"Walker, Christian",572233,2020,243,171,0.271,0.266,0.005,0.459,0.454,0.005,0.339,0.339,0.0
"Guerrero Jr., Vladimir",665489,2020,243,183,0.262,0.268,-0.006,0.462,0.446,0.016,0.338,0.338,0.0
"Franco, Maikel",596748,2020,243,189,0.278,0.256,0.022,0.457,0.398,0.059,0.329,0.307,0.022
"Castellanos, Nick",592206,2020,242,150,0.225,0.274,-0.049,0.486,0.545,-0.059,0.329,0.375,-0.0459999999999999
"Lewis, Kyle",641786,2020,242,137,0.262,0.239,0.023,0.437,0.433,0.004,0.349,0.344,0.005
"Trout, Mike",545361,2020,241,147,0.281,0.291,-0.0099999999999999,0.603,0.612,-0.009,0.407,0.428,-0.021
"McCutchen, Andrew",457705,2020,241,170,0.253,0.272,-0.019,0.433,0.48,-0.0469999999999999,0.327,0.355,-0.0279999999999999
"Reyes, Franmil",614177,2020,241,147,0.275,0.245,0.03,0.45,0.442,0.008,0.341,0.342,-0.001
"Alonso, Pete",624413,2020,239,148,0.231,0.225,0.006,0.49,0.463,0.0269999999999999,0.342,0.334,0.008
"Gregorius, Didi",544369,2020,237,190,0.284,0.263,0.0209999999999999,0.488,0.396,0.0919999999999999,0.348,0.311,0.0369999999999999
"Martinez, J.D.",502110,2020,237,154,0.213,0.229,-0.016,0.389,0.443,-0.0539999999999999,0.29,0.318,-0.028
"Semien, Marcus",543760,2020,236,161,0.223,0.209,0.014,0.374,0.352,0.022,0.299,0.287,0.012
"Báez, Javier",595879,2020,235,149,0.203,0.213,-0.0099999999999999,0.36,0.38,-0.02,0.256,0.275,-0.019
"Voit, Luke",572228,2020,234,160,0.277,0.279,-0.002,0.61,0.586,0.024,0.393,0.389,0.004
"Conforto, Michael",624424,2020,233,145,0.322,0.281,0.0409999999999999,0.515,0.478,0.037,0.401,0.374,0.027
"Solak, Nick",669256,2020,233,171,0.268,0.264,0.004,0.344,0.388,-0.044,0.297,0.318,-0.021
"Mondesi, Adalberto",609275,2020,233,151,0.256,0.215,0.041,0.416,0.355,0.061,0.305,0.267,0.0379999999999999
"Rendon, Anthony",543685,2020,232,158,0.286,0.287,-0.001,0.497,0.469,0.028,0.395,0.39,0.005
"Crawford, J.P.",641487,2020,232,167,0.255,0.257,-0.002,0.338,0.36,-0.0219999999999999,0.303,0.318,-0.015
"Seager, Corey",608369,2020,232,177,0.307,0.326,-0.019,0.585,0.651,-0.066,0.394,0.43,-0.0359999999999999
"Cabrera, Miguel",408234,2020,231,155,0.25,0.288,-0.0379999999999999,0.417,0.52,-0.103,0.323,0.379,-0.0559999999999999
"Goldschmidt, Paul",502671,2020,231,149,0.304,0.285,0.019,0.466,0.51,-0.0439999999999999,0.387,0.396,-0.009
"Rosario, Eddie",592696,2020,231,178,0.257,0.246,0.011,0.476,0.437,0.0389999999999999,0.333,0.318,0.015
"Moncada, Yoán",660162,2020,231,130,0.225,0.207,0.018,0.385,0.336,0.0489999999999999,0.309,0.29,0.019
"Alberto, Hanser",593643,2020,231,193,0.283,0.247,0.0359999999999999,0.393,0.319,0.074,0.301,0.261,0.0399999999999999
"Happ, Ian",664023,2020,231,136,0.258,0.261,-0.003,0.505,0.469,0.036,0.369,0.362,0.007
"Suárez, Eugenio",553993,2020,231,132,0.202,0.216,-0.0139999999999999,0.47,0.472,-0.002,0.332,0.342,-0.01
"Grichuk, Randal",545341,2020,231,169,0.273,0.268,0.005,0.481,0.468,0.0129999999999999,0.334,0.333,0.001
"Frazier, Adam",624428,2020,230,175,0.23,0.251,-0.0209999999999999,0.364,0.378,-0.014,0.291,0.309,-0.018
"Fletcher, David",664058,2020,230,185,0.319,0.292,0.027,0.425,0.351,0.074,0.35,0.316,0.0339999999999999
"Gurriel, Yuli",493329,2020,230,189,0.232,0.265,-0.033,0.384,0.408,-0.0239999999999999,0.281,0.318,-0.0369999999999999
"Davis, J.D.",605204,2020,229,135,0.247,0.252,-0.005,0.389,0.424,-0.0349999999999999,0.339,0.355,-0.0159999999999999
"Anderson, Brian",605119,2020,229,135,0.255,0.227,0.0279999999999999,0.465,0.426,0.039,0.348,0.324,0.0239999999999999
"Calhoun, Kole",594777,2020,228,144,0.226,0.263,-0.037,0.526,0.517,0.009,0.362,0.379,-0.017
"Tucker, Kyle",663656,2020,228,164,0.268,0.261,0.007,0.512,0.449,0.063,0.349,0.327,0.0219999999999999
"Kiner-Falefa, Isiah",643396,2020,228,180,0.28,0.26,0.02,0.37,0.34,0.0299999999999999,0.307,0.294,0.013
"La Stella, Tommy",600303,2020,228,187,0.281,0.275,0.006,0.449,0.423,0.026,0.355,0.348,0.007
"Robert Jr., Luis",673357,2020,227,131,0.233,0.225,0.008,0.436,0.466,-0.03,0.316,0.329,-0.013
"Edman, Tommy",669242,2020,227,158,0.25,0.266,-0.016,0.368,0.367,0.001,0.302,0.315,-0.013
"Polanco, Jorge",593871,2020,226,177,0.258,0.263,-0.005,0.354,0.381,-0.027,0.289,0.304,-0.015
"Gallo, Joey",608336,2020,226,114,0.181,0.189,-0.008,0.378,0.415,-0.0369999999999999,0.297,0.315,-0.018
"Jiménez, Eloy",650391,2020,226,158,0.296,0.278,0.0179999999999999,0.559,0.54,0.019,0.373,0.364,0.009
"Nimmo, Brandon",607043,2020,225,143,0.28,0.25,0.03,0.484,0.423,0.061,0.387,0.359,0.028
"Yastrzemski, Mike",573262,2020,225,137,0.297,0.251,0.0459999999999999,0.568,0.488,0.0799999999999999,0.407,0.364,0.0429999999999999
"Contreras, Willson",575929,2020,225,134,0.243,0.249,-0.006,0.407,0.441,-0.034,0.336,0.353,-0.0169999999999999
"Bogaerts, Xander",593428,2020,225,163,0.3,0.258,0.0419999999999999,0.502,0.471,0.031,0.368,0.34,0.0279999999999999
"Schwarber, Kyle",656941,2020,224,125,0.188,0.224,-0.036,0.393,0.441,-0.0479999999999999,0.307,0.34,-0.033
"Gurriel Jr., Lourdes",666971,2020,224,162,0.308,0.281,0.0269999999999999,0.534,0.486,0.048,0.372,0.347,0.025
"Lowe, Brandon",664040,2020,224,137,0.269,0.258,0.011,0.554,0.547,0.007,0.385,0.381,0.004
"Pillar, Kevin",607680,2020,223,167,0.288,0.272,0.0159999999999999,0.462,0.435,0.027,0.341,0.328,0.013
"Bell, Josh",605137,2020,223,140,0.226,0.222,0.004,0.364,0.375,-0.011,0.286,0.293,-0.007
"Votto, Joey",458015,2020,223,143,0.226,0.253,-0.0269999999999999,0.446,0.478,-0.0319999999999999,0.347,0.369,-0.022
"Springer, George",543807,2020,222,153,0.265,0.294,-0.0289999999999999,0.54,0.569,-0.0289999999999999,0.379,0.405,-0.026
"Laureano, Ramón",657656,2020,222,128,0.213,0.23,-0.017,0.366,0.403,-0.037,0.315,0.338,-0.023
"Escobar, Eduardo",500871,2020,222,164,0.212,0.263,-0.051,0.335,0.396,-0.061,0.257,0.306,-0.0489999999999999
"Verdugo, Alex",657077,2020,221,157,0.308,0.238,0.07,0.478,0.369,0.1089999999999999,0.362,0.299,0.063
"Anderson, Tim",641313,2020,221,159,0.322,0.286,0.036,0.529,0.501,0.028,0.376,0.352,0.024
"Correa, Carlos",621043,2020,221,153,0.264,0.249,0.015,0.383,0.397,-0.014,0.308,0.311,-0.003
"Myers, Wil",571976,2020,218,142,0.288,0.285,0.003,0.606,0.589,0.017,0.4,0.396,0.004
"Peralta, David",444482,2020,218,160,0.3,0.26,0.0399999999999999,0.433,0.375,0.0579999999999999,0.333,0.299,0.034
"Segura, Jean",516416,2020,217,148,0.266,0.25,0.016,0.422,0.391,0.0309999999999999,0.333,0.318,0.015
"Ahmed, Nick",605113,2020,217,153,0.266,0.247,0.019,0.402,0.377,0.025,0.318,0.304,0.014
"Bradley Jr., Jackie",598265,2020,217,144,0.283,0.22,0.0629999999999999,0.45,0.368,0.082,0.352,0.301,0.0509999999999999
"LeMahieu, DJ",518934,2020,216,175,0.364,0.312,0.0519999999999999,0.59,0.46,0.1299999999999999,0.429,0.366,0.063
"Aguilar, Jesús",542583,2020,216,152,0.277,0.271,0.006,0.457,0.452,0.005,0.347,0.345,0.002
"Núñez, Renato",600524,2020,216,132,0.256,0.227,0.0289999999999999,0.492,0.431,0.061,0.347,0.315,0.0319999999999999
"Taylor, Chris",621035,2020,214,131,0.27,0.272,-0.002,0.476,0.488,-0.012,0.364,0.371,-0.007
"Cruz, Nelson",443558,2020,214,127,0.303,0.269,0.0339999999999999,0.595,0.545,0.0499999999999999,0.411,0.383,0.0279999999999999
"Cabrera, Asdrúbal",452678,2020,213,154,0.242,0.243,-0.001,0.447,0.429,0.018,0.319,0.317,0.002
"Reyes, Victor",622682,2020,213,157,0.277,0.287,-0.0099999999999999,0.391,0.43,-0.0389999999999999,0.307,0.329,-0.022
"Flores, Wilmer",527038,2020,213,163,0.268,0.245,0.023,0.515,0.43,0.085,0.347,0.309,0.0379999999999999
"Hicks, Aaron",543305,2020,211,131,0.225,0.256,-0.031,0.414,0.435,-0.021,0.351,0.374,-0.023
"Dickerson, Corey",572816,2020,210,159,0.258,0.248,0.01,0.402,0.396,0.006,0.308,0.305,0.003
"Pollock, AJ",572041,2020,210,153,0.276,0.269,0.007,0.566,0.499,0.0669999999999999,0.364,0.345,0.019
"Altuve, Jose",514888,2020,210,153,0.219,0.23,-0.011,0.344,0.349,-0.005,0.278,0.288,-0.0099999999999999
"Reddick, Josh",502210,2020,210,147,0.245,0.246,-0.001,0.378,0.36,0.018,0.304,0.303,0.001
"Longoria, Evan",446334,2020,209,157,0.254,0.282,-0.0279999999999999,0.425,0.524,-0.099,0.308,0.364,-0.0559999999999999
"Duvall, Adam",594807,2020,209,137,0.237,0.228,0.0089999999999999,0.532,0.516,0.016,0.348,0.342,0.0059999999999999
"McNeil, Jeff",643446,2020,209,162,0.311,0.277,0.0339999999999999,0.454,0.407,0.047,0.36,0.337,0.0229999999999999
"Reynolds, Bryan",668804,2020,208,128,0.189,0.228,-0.039,0.357,0.403,-0.046,0.278,0.314,-0.0359999999999999
"Wong, Kolten",543939,2020,208,154,0.265,0.235,0.03,0.326,0.306,0.02,0.305,0.286,0.019
"García, Avisaíl",541645,2020,207,132,0.238,0.244,-0.006,0.326,0.375,-0.0489999999999999,0.296,0.317,-0.021
"Hernández, Teoscar",606192,2020,207,128,0.289,0.296,-0.007,0.579,0.614,-0.035,0.384,0.401,-0.017
"Villar, Jonathan",542340,2020,207,134,0.232,0.216,0.016,0.292,0.287,0.005,0.266,0.261,0.005
"Tapia, Raimel",606132,2020,206,150,0.321,0.244,0.077,0.402,0.325,0.077,0.338,0.285,0.053
"Candelario, Jeimer",600869,2020,206,136,0.297,0.277,0.0199999999999999,0.503,0.471,0.032,0.373,0.356,0.017
"Riley, Austin",663586,2020,206,140,0.239,0.265,-0.026,0.415,0.474,-0.059,0.307,0.342,-0.035
"Adames, Willy",642715,2020,205,111,0.259,0.229,0.03,0.481,0.394,0.0869999999999999,0.347,0.307,0.0399999999999999
"Sanó, Miguel",593934,2020,205,96,0.204,0.215,-0.011,0.478,0.483,-0.005,0.317,0.326,-0.009
"Ruiz, Rio",547004,2020,204,141,0.222,0.212,0.01,0.427,0.356,0.071,0.303,0.277,0.0259999999999999
"Solano, Donovan",456781,2020,203,152,0.326,0.278,0.0479999999999999,0.463,0.417,0.046,0.357,0.32,0.0369999999999999
"Profar, Jurickson",595777,2020,202,155,0.278,0.282,-0.0039999999999999,0.428,0.411,0.017,0.335,0.338,-0.003
"White, Evan",657108,2020,202,99,0.176,0.19,-0.014,0.346,0.387,-0.041,0.261,0.292,-0.0309999999999999
"Acuña Jr., Ronald",660670,2020,202,100,0.25,0.256,-0.006,0.581,0.594,-0.013,0.413,0.422,-0.009
"Arenado, Nolan",571448,2020,201,166,0.253,0.235,0.018,0.434,0.392,0.0419999999999999,0.308,0.288,0.02
"Moran, Colin",592567,2020,200,127,0.247,0.254,-0.007,0.472,0.479,-0.007,0.34,0.35,-0.0099999999999999
"Smith, Dominic",642086,2020,199,135,0.316,0.303,0.013,0.616,0.566,0.05,0.412,0.392,0.0199999999999999
"Gonzalez, Marwin",503556,2020,199,138,0.211,0.24,-0.0289999999999999,0.32,0.401,-0.081,0.269,0.314,-0.0449999999999999
"Kepler, Max",596146,2020,196,136,0.228,0.258,-0.03,0.439,0.425,0.014,0.328,0.34,-0.012
"Soto, Juan",665742,2020,196,126,0.351,0.332,0.0189999999999999,0.695,0.696,-0.001,0.478,0.475,0.003
"Marte, Ketel",606466,2020,195,163,0.287,0.265,0.0219999999999999,0.409,0.381,0.0279999999999999,0.316,0.306,0.01
"Realmuto, J.T.",592663,2020,195,125,0.266,0.246,0.02,0.491,0.498,-0.007,0.361,0.356,0.005
"Grandal, Yasmani",518735,2020,194,105,0.23,0.207,0.023,0.422,0.403,0.0189999999999999,0.338,0.327,0.011
"Crawford, Brandon",543063,2020,193,127,0.256,0.235,0.021,0.465,0.398,0.067,0.334,0.309,0.025
"González, Erik",570481,2020,193,134,0.227,0.237,-0.0099999999999999,0.359,0.396,-0.037,0.262,0.293,-0.0309999999999999
"McMahon, Ryan",641857,2020,193,107,0.215,0.203,0.0119999999999999,0.419,0.389,0.0299999999999999,0.308,0.296,0.012
"Grossman, Robbie",543257,2020,192,128,0.241,0.24,0.001,0.482,0.399,0.0829999999999999,0.351,0.328,0.0229999999999999
"Lopez, Nicky",670032,2020,192,131,0.201,0.238,-0.0369999999999999,0.266,0.308,-0.0419999999999999,0.254,0.287,-0.0329999999999999
"Cronenworth, Jake",630105,2020,192,143,0.285,0.317,-0.032,0.477,0.535,-0.058,0.356,0.393,-0.037
"Arcia, Orlando",606115,2020,189,142,0.26,0.281,-0.021,0.416,0.428,-0.012,0.317,0.338,-0.021
"Robles, Victor",645302,2020,189,118,0.22,0.205,0.015,0.315,0.28,0.0349999999999999,0.273,0.262,0.011
"Vázquez, Christian",543877,2020,189,130,0.283,0.218,0.0649999999999999,0.457,0.353,0.104,0.346,0.281,0.0649999999999999
"Brantley, Michael",488726,2020,187,142,0.3,0.26,0.0399999999999999,0.476,0.413,0.063,0.362,0.325,0.0369999999999999
"Dozier, Hunter",641531,2020,186,110,0.228,0.235,-0.0069999999999999,0.392,0.385,0.007,0.326,0.331,-0.005
"Hoskins, Rhys",656555,2020,185,108,0.245,0.236,0.009,0.503,0.507,-0.004,0.382,0.381,0.001
"Tsutsugo, Yoshi",660294,2020,185,108,0.197,0.211,-0.0139999999999999,0.395,0.421,-0.0259999999999999,0.309,0.325,-0.016
"d'Arnaud, Travis",518595,2020,184,116,0.321,0.3,0.021,0.533,0.536,-0.003,0.392,0.386,0.006
"Nola, Austin",543592,2020,184,129,0.273,0.28,-0.007,0.472,0.467,0.0049999999999999,0.352,0.361,-0.009
"Wendle, Joey",621563,2020,184,134,0.286,0.256,0.0299999999999999,0.435,0.375,0.06,0.335,0.304,0.031
"Gordon, Alex",460086,2020,184,126,0.209,0.23,-0.021,0.307,0.352,-0.0449999999999999,0.275,0.301,-0.0259999999999999
"Hampson, Garrett",641658,2020,184,111,0.234,0.23,0.004,0.383,0.391,-0.008,0.29,0.297,-0.007
"Akiyama, Shogo",673451,2020,183,121,0.245,0.244,0.001,0.297,0.326,-0.029,0.304,0.315,-0.011
"Winker, Jesse",608385,2020,183,104,0.255,0.265,-0.01,0.544,0.524,0.02,0.396,0.397,-0.001
"Canó, Robinson",429664,2020,182,148,0.316,0.297,0.019,0.544,0.481,0.063,0.376,0.353,0.023
"Encarnación, Edwin",429665,2020,181,106,0.157,0.161,-0.004,0.377,0.366,0.011,0.272,0.277,-0.005
"Heyward, Jason",518792,2020,181,112,0.265,0.287,-0.0219999999999999,0.456,0.451,0.005,0.368,0.381,-0.013
"Shaw, Travis",543768,2020,180,114,0.239,0.241,-0.002,0.411,0.436,-0.025,0.31,0.323,-0.013
"Bregman, Alex",608324,2020,180,128,0.242,0.249,-0.007,0.451,0.389,0.062,0.345,0.332,0.0129999999999999
"Bohm, Alec",664761,2020,180,126,0.338,0.285,0.053,0.481,0.467,0.0139999999999999,0.381,0.357,0.024
"Belt, Brandon",474832,2020,179,113,0.309,0.287,0.022,0.591,0.597,-0.006,0.427,0.422,0.005
"Goodrum, Niko",592348,2020,179,92,0.184,0.183,0.001,0.335,0.336,-0.001,0.262,0.265,-0.003
"Sánchez, Gary",596142,2020,178,92,0.147,0.193,-0.046,0.365,0.43,-0.065,0.271,0.314,-0.0429999999999999
"Severino, Pedro",600474,2020,178,121,0.25,0.269,-0.019,0.388,0.43,-0.0419999999999999,0.312,0.337,-0.025
"Schoop, Jonathan",570731,2020,177,125,0.278,0.243,0.035,0.475,0.389,0.0859999999999999,0.34,0.3,0.04
"Dubón, Mauricio",643289,2020,177,124,0.274,0.256,0.018,0.389,0.402,-0.013,0.318,0.319,-0.001
"Eaton, Adam",594809,2020,176,131,0.226,0.248,-0.0219999999999999,0.384,0.389,-0.005,0.287,0.303,-0.016
"Ohtani, Shohei",660271,2020,175,103,0.19,0.234,-0.044,0.366,0.423,-0.0569999999999999,0.29,0.331,-0.041
"Turner, Justin",457759,2020,175,125,0.307,0.298,0.009,0.46,0.551,-0.091,0.376,0.403,-0.027
"Polanco, Gregory",570256,2020,174,95,0.153,0.223,-0.07,0.325,0.417,-0.0919999999999999,0.232,0.301,-0.0689999999999999
"Soler, Jorge",624585,2020,174,90,0.228,0.243,-0.0149999999999999,0.443,0.487,-0.0439999999999999,0.332,0.354,-0.0219999999999999
"Urshela, Gio",570482,2020,174,130,0.298,0.314,-0.016,0.49,0.491,-0.001,0.365,0.379,-0.014
"DeJong, Paul",657557,2020,174,106,0.25,0.238,0.012,0.349,0.406,-0.057,0.296,0.315,-0.019
"Frazier, Todd",453943,2020,172,115,0.236,0.225,0.0109999999999999,0.382,0.37,0.012,0.3,0.294,0.006
"Newman, Kevin",621028,2020,172,138,0.224,0.253,-0.0289999999999999,0.276,0.337,-0.061,0.251,0.29,-0.0389999999999999
"Miller, Brad",543543,2020,171,97,0.232,0.252,-0.0199999999999999,0.451,0.481,-0.0299999999999999,0.349,0.377,-0.028
"Piscotty, Stephen",572039,2020,171,108,0.226,0.237,-0.0109999999999999,0.358,0.398,-0.04,0.273,0.293,-0.0199999999999999
"Dickerson, Alex",543105,2020,170,122,0.298,0.268,0.0299999999999999,0.576,0.494,0.0819999999999999,0.394,0.356,0.038
"Carpenter, Matt",572761,2020,169,92,0.186,0.209,-0.0229999999999999,0.314,0.4,-0.086,0.293,0.33,-0.037
"Upton, Justin",457708,2020,166,105,0.204,0.228,-0.024,0.422,0.43,-0.008,0.307,0.329,-0.022
"Maldonado, Martín",455117,2020,165,86,0.215,0.202,0.0129999999999999,0.378,0.357,0.021,0.326,0.316,0.01
"Santander, Anthony",623993,2020,165,128,0.261,0.287,-0.0259999999999999,0.575,0.516,0.0589999999999999,0.364,0.358,0.006
"Goodwin, Brian",571718,2020,164,92,0.215,0.212,0.003,0.417,0.381,0.0359999999999999,0.305,0.298,0.007
"Moustakas, Mike",519058,2020,163,105,0.23,0.24,-0.0099999999999999,0.468,0.43,0.038,0.34,0.335,0.005
"Pujols, Albert",405395,2020,163,128,0.224,0.248,-0.0239999999999999,0.395,0.401,-0.006,0.282,0.299,-0.017
"Frazier, Clint",640449,2020,160,88,0.267,0.246,0.021,0.511,0.447,0.064,0.388,0.363,0.025
"Torres, Gleyber",650402,2020,160,108,0.243,0.245,-0.002,0.368,0.384,-0.016,0.326,0.335,-0.009
"Kiermaier, Kevin",595281,2020,159,96,0.217,0.249,-0.032,0.362,0.377,-0.015,0.301,0.325,-0.024
"Galvis, Freddy",520471,2020,159,111,0.22,0.22,0.0,0.404,0.36,0.044,0.312,0.301,0.011
"Moore, Dylan",664238,2020,159,94,0.255,0.251,0.004,0.496,0.464,0.0319999999999999,0.368,0.357,0.011
"Margot, Manuel",622534,2020,159,121,0.269,0.26,0.009,0.352,0.381,-0.029,0.301,0.309,-0.008
"Chavis, Michael",656308,2020,158,98,0.212,0.229,-0.017,0.377,0.394,-0.017,0.272,0.294,-0.0219999999999999
"Gardner, Brett",458731,2020,158,96,0.223,0.226,-0.003,0.392,0.37,0.022,0.332,0.327,0.005
"O'Neill, Tyler",641933,2020,157,97,0.173,0.19,-0.017,0.36,0.374,-0.014,0.271,0.286,-0.0149999999999999
"Molina, Yadier",425877,2020,156,126,0.262,0.254,0.008,0.359,0.385,-0.026,0.29,0.298,-0.008
"Hosmer, Eric",543333,2020,156,117,0.287,0.284,0.003,0.517,0.52,-0.003,0.359,0.366,-0.007
"Perez, Salvador",521692,2020,156,115,0.333,0.319,0.014,0.633,0.622,0.011,0.41,0.406,0.0039999999999999
"France, Ty",664034,2020,155,104,0.305,0.285,0.02,0.468,0.484,-0.0159999999999999,0.362,0.36,0.002
"Ramos, Wilson",467092,2020,155,112,0.239,0.247,-0.008,0.387,0.419,-0.0319999999999999,0.297,0.316,-0.019
"Mullins, Cedric",656775,2020,153,107,0.271,0.214,0.057,0.407,0.297,0.1099999999999999,0.313,0.251,0.062
"Meadows, Austin",640457,2020,152,84,0.205,0.186,0.0189999999999999,0.371,0.344,0.027,0.292,0.278,0.0139999999999999
"Chapman, Matt",656305,2020,152,89,0.232,0.245,-0.0129999999999999,0.535,0.542,-0.007,0.335,0.35,-0.0149999999999999
"Moreland, Mitch",519048,2020,152,104,0.265,0.236,0.029,0.551,0.476,0.075,0.372,0.335,0.0369999999999999
"Lopes, Tim",621005,2020,151,109,0.238,0.235,0.003,0.364,0.347,0.017,0.279,0.276,0.003
"Iglesias, Jose",578428,2020,150,126,0.373,0.359,0.014,0.556,0.502,0.054,0.407,0.387,0.0199999999999999
"Valaika, Pat",642162,2020,150,108,0.277,0.26,0.017,0.475,0.456,0.0189999999999999,0.337,0.323,0.014
"Berti, Jon",542932,2020,149,86,0.258,0.241,0.017,0.35,0.316,0.0339999999999999,0.337,0.323,0.014
"Mazara, Nomar",608577,2020,149,92,0.228,0.222,0.006,0.294,0.364,-0.07,0.267,0.291,-0.0239999999999999
"Odor, Rougned",596059,2020,148,93,0.167,0.195,-0.0279999999999999,0.413,0.423,-0.01,0.259,0.282,-0.0229999999999999
"Joyce, Matt",459964,2020,148,87,0.252,0.227,0.0249999999999999,0.331,0.337,-0.006,0.31,0.31,0.0
"Hernández, Enrique",571771,2020,148,109,0.23,0.224,0.006,0.41,0.383,0.0269999999999999,0.29,0.29,0.0
"Bryant, Kris",592178,2020,147,91,0.206,0.202,0.0039999999999999,0.351,0.348,0.003,0.285,0.284,0.001
"Rosario, Amed",642708,2020,147,109,0.252,0.233,0.0189999999999999,0.371,0.34,0.0309999999999999,0.277,0.261,0.016
"Jansen, Danny",643376,2020,147,93,0.183,0.247,-0.064,0.358,0.439,-0.081,0.3,0.354,-0.0539999999999999
"Bote, David",623520,2020,145,86,0.2,0.227,-0.0269999999999999,0.408,0.412,-0.004,0.309,0.325,-0.016
"Choi, Ji Man",596847,2020,145,89,0.23,0.193,0.037,0.41,0.303,0.1069999999999999,0.316,0.276,0.0399999999999999
"Rojas, Miguel",500743,2020,143,107,0.304,0.274,0.0299999999999999,0.496,0.381,0.1149999999999999,0.379,0.33,0.0489999999999999
"Stallings, Jacob",607732,2020,143,88,0.248,0.205,0.043,0.376,0.323,0.0529999999999999,0.309,0.277,0.0319999999999999
"Braun, Ryan",460075,2020,141,103,0.233,0.274,-0.041,0.488,0.477,0.011,0.322,0.342,-0.02
"Markakis, Nick",455976,2020,141,107,0.254,0.276,-0.022,0.392,0.364,0.028,0.307,0.31,-0.003
"Panik, Joe",605412,2020,141,93,0.225,0.246,-0.0209999999999999,0.3,0.348,-0.0479999999999999,0.296,0.322,-0.026
"Naquin, Tyler",571980,2020,141,95,0.218,0.265,-0.047,0.383,0.473,-0.0899999999999999,0.268,0.326,-0.0579999999999999
